"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"HCC_ShH.216517",-5189428.58624685,16378.1605106233,-9276.90544904014,1164.47367955669,-1623.34969211875,1954.36685605977,-3071.16346029518,4129.72175251622,-2116.2189332745,-471.54752988156,-2717.0616157179,119.568404509401,-798.065579474789,-326.926127862401,-497.070998917901,145.052095484714,-95.0681559169722,-244.463364316626,427.21329868372,346.448286742735
"HCC_ShH.216540",-5144615.20505508,9710.32581428779,-26643.024239686,-1947.92736940642,1010.25119684108,1642.98398361557,-3492.3062177947,9202.97809018685,2423.49414379363,-1528.65843546066,-1665.01264695234,454.077138871666,916.881073321778,640.7215827644,-953.09235254442,1100.40173406741,-588.221588647263,113.809901740587,570.251771105276,6.68270890074413
"HCC_ShH.216565",-5156825.39606094,34682.505489013,11037.4501332822,1130.54610579435,-3589.87479710628,-5917.09235642172,4401.1846703624,500.69175704257,5424.10381748024,2616.00680543441,-1233.67496763069,-1327.71675032804,1047.23200719518,-1024.8063182115,1828.86532490691,356.156657035333,30.829720362687,-141.058510814686,958.155842805647,-383.668539695054
"HCC_ShH.216652",-5189507.40261929,39468.0063962756,804.178021705066,-2161.14535954335,-1744.16095001743,-5140.14221271545,-481.072721198955,-1756.27080116153,2273.7378263991,-576.484327220364,-2197.24560717867,97.6850757691195,-827.099094637884,-218.221822094565,4.52200379420913,-299.424393953635,-43.8702293895769,-227.014745175784,330.917649944099,-192.570588775617
"HCC_ShH.216692",-5125461.14482191,553.592746215601,13824.0925418704,-5091.0882399497,3184.65510216171,-4091.22437371366,-1543.12052248348,-2047.43987089029,-984.851210749684,-11.7894948916579,-1290.12609843816,-662.672547061254,-681.781404539756,-203.745379716194,78.1092465335841,427.624788045906,-100.72981445235,327.14750936755,229.954371326747,-50.0147884428583
"HCC_ShH.216730",-5159592.18045123,37318.1291696377,1994.10133037859,-6221.2799027123,1808.15566791237,-4139.96475248343,-1293.4432053976,-1090.33160450359,2590.86503049776,-289.355571526078,-1702.05264336352,-466.571288358057,-63.4307520218784,-407.55135053847,55.0166374323874,246.23698436908,-28.4144250629565,-88.0188959968117,658.106663922051,-167.821906028899
"HCC_ShH.216733",-5407057.32210325,44266.7532539047,25301.1377087021,-9051.15105819662,5368.05272581956,-3578.47864060396,-6613.12457885385,-787.693721683149,-1417.33841273521,-499.53902074851,-3128.95526971653,-845.57279454809,-1558.72740769292,-541.781574058559,502.204415541107,613.229751739531,91.6662831855789,579.770057597111,858.207257387475,179.740141387906
"HCC_ShH.216749",-5168164.66219911,38503.6519514074,1144.93740346678,5606.10041374252,-4710.30505135877,2981.41033839696,-470.308607589618,399.332290370532,-596.707102346969,17.6858472921724,-822.665754851198,-376.976619798649,313.28791271931,-1190.31986511597,-266.010031885373,-14.9600784254748,367.239940828163,-270.978143449409,504.849932092661,200.426151150128
"HCC_ShHW.161444",-4893899.45781123,-39061.9747985667,-8946.98915559755,2320.34738062695,-2551.33693925237,3142.13547370436,625.2867972566,-3574.25381105908,-3013.34254138409,-1117.4324921665,2261.67407036086,-35.9413821390195,41.2016156498181,146.745212024457,1186.38718407574,-397.503570622414,-99.1283806669173,697.277486340771,-696.562778318238,64.946825870224
"HCC_ShHW.224990",-4882959.68442737,-48959.1079262142,4661.73347878486,-2527.48702305083,3839.69427941556,7758.875134356,-83.6328153339717,-7311.32879861638,-9768.81241929648,-292.11811876742,4604.71259559057,-1279.75688908769,-583.711565942799,1332.99565324349,-694.965091639243,-1133.48262469057,-202.798367272444,-579.689253905545,-1421.01385872279,-108.003972313504
